confidence,tp_multiple,max_stop_pips,sharpe,win_rate,total_trades,total_return,max_drawdown
0.7,2.0,15,3.976772789590768,56.65399239543726,263,11.055306960356647,2.7799694740655023
0.7,2.0,10,3.976772789590768,56.65399239543726,263,11.055306960356647,2.7799694740655023
0.7,1.5,20,3.976772789590768,56.65399239543726,263,11.055306960356647,2.7799694740655023
0.7,1.5,15,3.976772789590768,56.65399239543726,263,11.055306960356647,2.7799694740655023
0.7,1.5,10,3.976772789590768,56.65399239543726,263,11.055306960356647,2.7799694740655023
0.7,2.5,10,3.976772789590768,56.65399239543726,263,11.055306960356647,2.7799694740655023
0.7,2.5,15,3.976772789590768,56.65399239543726,263,11.055306960356647,2.7799694740655023
0.7,2.5,20,3.976772789590768,56.65399239543726,263,11.055306960356647,2.7799694740655023
0.7,2.0,20,3.976772789590768,56.65399239543726,263,11.055306960356647,2.7799694740655023
0.6,2.5,20,3.8952672156189845,57.09779179810725,317,11.76919242505568,3.021408230445488
0.6,1.5,10,3.8952672156189845,57.09779179810725,317,11.76919242505568,3.021408230445488
0.6,1.5,20,3.8952672156189845,57.09779179810725,317,11.76919242505568,3.021408230445488
0.6,2.0,10,3.8952672156189845,57.09779179810725,317,11.76919242505568,3.021408230445488
0.6,1.5,15,3.8952672156189845,57.09779179810725,317,11.76919242505568,3.021408230445488
0.6,2.0,15,3.8952672156189845,57.09779179810725,317,11.76919242505568,3.021408230445488
0.6,2.5,15,3.8952672156189845,57.09779179810725,317,11.76919242505568,3.021408230445488
0.6,2.5,10,3.8952672156189845,57.09779179810725,317,11.76919242505568,3.021408230445488
0.6,2.0,20,3.8952672156189845,57.09779179810725,317,11.76919242505568,3.021408230445488
0.65,2.5,10,2.9106844352058334,55.70469798657718,298,9.687185390342783,3.3281469035848055
0.65,2.5,20,2.9106844352058334,55.70469798657718,298,9.687185390342783,3.3281469035848055
0.65,1.5,20,2.9106844352058334,55.70469798657718,298,9.687185390342783,3.3281469035848055
0.65,2.0,15,2.9106844352058334,55.70469798657718,298,9.687185390342783,3.3281469035848055
0.65,2.0,20,2.9106844352058334,55.70469798657718,298,9.687185390342783,3.3281469035848055
0.65,2.5,15,2.9106844352058334,55.70469798657718,298,9.687185390342783,3.3281469035848055
0.65,2.0,10,2.9106844352058334,55.70469798657718,298,9.687185390342783,3.3281469035848055
0.65,1.5,15,2.9106844352058334,55.70469798657718,298,9.687185390342783,3.3281469035848055
0.65,1.5,10,2.9106844352058334,55.70469798657718,298,9.687185390342783,3.3281469035848055
0.55,1.5,10,2.457193483708113,56.03715170278638,323,8.75682452837278,3.5637505090392763
0.55,2.0,10,2.457193483708113,56.03715170278638,323,8.75682452837278,3.5637505090392763
0.55,1.5,20,2.457193483708113,56.03715170278638,323,8.75682452837278,3.5637505090392763
0.55,1.5,15,2.457193483708113,56.03715170278638,323,8.75682452837278,3.5637505090392763
0.55,2.5,15,2.457193483708113,56.03715170278638,323,8.75682452837278,3.5637505090392763
0.55,2.5,20,2.457193483708113,56.03715170278638,323,8.75682452837278,3.5637505090392763
0.55,2.5,10,2.457193483708113,56.03715170278638,323,8.75682452837278,3.5637505090392763
0.55,2.0,20,2.457193483708113,56.03715170278638,323,8.75682452837278,3.5637505090392763
0.55,2.0,15,2.457193483708113,56.03715170278638,323,8.75682452837278,3.5637505090392763
