,total_return,sharpe,max_drawdown,num_trades,win_rate,profit_factor,avg_win,avg_loss
Original,0.05148140577481535,0.4257288547376371,0.11777337723056847,29.0,37.93103448275862,1.4307277834761933,19.408594305311954,8.290051935810004
Filtered,0.06084322505941964,0.6042760354064345,0.11475780783052136,20.0,45.0,1.6586170234535758,19.86530477482924,9.799387652227766
